Chr	Start	End	Symbol	FBgn	Strand
2L	7529	9484	CR11023	FBgn0031208	+
2L	9839	21376	l(2)gl	FBgn0002121	-
2L	21823	25155	Ir21a	FBgn0031209	-
2L	21952	24237	asRNA:CR43609	FBgn0263584	+
2L	25402	65404	Cda5	FBgn0051973	-
2L	54817	55767	lncRNA:CR46254	FBgn0267987	+
2L	65999	66242	lncRNA:CR45339	FBgn0266878	+
2L	66318	66524	lncRNA:CR45340	FBgn0266879	+
2L	66482	71390	dbr	FBgn0067779	+
2L	71039	73836	asRNA:CR44987	FBgn0266322	-
2L	71757	76211	galectin	FBgn0031213	+
2L	76348	77783	CG11374	FBgn0031214	+
2L	82421	87387	net	FBgn0002931	-
2L	94739	102086	Zir	FBgn0031216	+
2L	102380	104142	CG11377	FBgn0031217	+
2L	103962	106732	Nhe1	FBgn0026787	-
2L	106903	114432	Sam-S	FBgn0005278	+
2L	114726	156030	ND-15	FBgn0031228	+
2L	115365	116488	CG13694	FBgn0031219	-
2L	116970	121754	CG4822	FBgn0031220	-
2L	122624	130791	CG3164	FBgn0025683	-
2L	122837	124031	asRNA:CR44969	FBgn0266304	+
2L	132077	134472	Gs1	FBgn0001142	+
2L	135402	136128	lncRNA:CR44185	FBgn0265074	+
2L	136144	136701	lncRNA:CR44186	FBgn0265075	+
2L	138384	140992	CG31975	FBgn0051975	-
2L	138384	140992	ovm	FBgn0051976	-
2L	141077	143091	CG31974	FBgn0051974	-
2L	143323	144227	CG11454	FBgn0031224	+
2L	144231	153300	CG42399	FBgn0259818	-
2L	153539	155305	CG3709	FBgn0031227	-
2L	156029	157666	CG3436	FBgn0031229	+
2L	157836	158664	CG33635	FBgn0053635	-
2L	159032	203397	spen	FBgn0016977	+
2L	203779	204782	mRpL10	FBgn0031231	+
2L	204743	207297	CG11617	FBgn0031232	-
2L	207179	210725	Tbc1d15-17	FBgn0031233	+
2L	210735	250823	kis	FBgn0266557	-
2L	219651	220050	lncRNA:CR44220	FBgn0265151	+
2L	223519	224708	lncRNA:CR44222	FBgn0265153	+
2L	228037	228588	lncRNA:CR44221	FBgn0265152	+
2L	232166	232253	snoRNA:kis-a	FBgn0263465	-
2L	232487	234208	CG13693	FBgn0031235	+
2L	243035	243141	mir-965	FBgn0262252	-
2L	248909	249812	lncRNA:CR44218	FBgn0265149	+
2L	251039	252373	Rpp30	FBgn0283652	-
2L	252589	271744	CG3645	FBgn0031238	-
2L	259949	267505	CG17075	FBgn0031239	-
2L	262203	263003	lncRNA:CR44219	FBgn0265150	+
2L	269088	271626	CG3345	FBgn0031240	+
2L	271912	273715	mbm	FBgn0086912	-
2L	273836	274766	CG11555	FBgn0086856	+
2L	274740	278234	CG17078	FBgn0086855	-
2L	277582	282167	smo	FBgn0003444	+
2L	281670	283269	CG11601	FBgn0031244	-
2L	283385	291795	CG3625	FBgn0031245	-
2L	283807	284255	asRNA:CR46262	FBgn0267995	+
2L	286383	288292	asRNA:CR46263	FBgn0267996	+
2L	287252	289144	Amnionless	FBgn0025686	-
2L	292419	293222	CG11562	FBgn0031247	+
2L	292959	294681	U2af38	FBgn0017457	-
2L	295122	297449	Stip1	FBgn0024352	+
2L	297880	305233	Pi3K21B	FBgn0020622	+
2L	305935	355566	Plc21C	FBgn0004611	+
2L	308537	309348	lncRNA:CR43719	FBgn0263872	-
2L	318362	319259	CG11912	FBgn0031248	-
2L	320279	321248	CG11911	FBgn0031249	-
2L	322101	323091	CG33127	FBgn0053127	+
2L	325522	329761	CG43755	FBgn0264086	-
2L	329910	332335	CG31921	FBgn0051921	-
2L	355565	357874	Ent1	FBgn0031250	-
2L	355663	356891	asRNA:CR45367	FBgn0266907	+
2L	357329	358174	asRNA:CR45366	FBgn0266906	+
2L	378112	387439	al	FBgn0000061	+
2L	396120	396571	lncRNA:CR43718	FBgn0263871	+
2L	396595	402198	CG4213	FBgn0031251	-
2L	404285	407969	RpI135	FBgn0003278	+
2L	408030	414777	AP-2alpha	FBgn0264855	-
2L	415067	418536	ebi	FBgn0263933	+
2L	418434	419652	CG13690	FBgn0031252	-
2L	419952	420864	RpLP1	FBgn0002593	+
2L	420895	421450	CG11885	FBgn0031253	-
2L	421771	422489	CG13692	FBgn0031254	+
2L	422873	425321	BBS8	FBgn0031255	+
2L	431227	448701	ex	FBgn0004583	+
2L	439539	440104	lncRNA:CR43717	FBgn0263870	+
2L	448254	453024	crq	FBgn0015924	-
2L	453108	454654	shv	FBgn0031256	+
2L	454754	455313	CR43080	FBgn0262510	+
2L	455531	458745	CG4133	FBgn0031257	+
2L	458876	472200	CG4297	FBgn0031258	-
2L	473013	476170	MED15	FBgn0027592	+
2L	476220	540560	ush	FBgn0003963	+
2L	476446	479688	cbt	FBgn0043364	-
2L	490835	492649	lncRNA:CR46258	FBgn0267991	+
2L	500873	502236	lncRNA:CR46259	FBgn0267992	-
2L	540599	542580	lwr	FBgn0010602	-
2L	542786	544653	Spp	FBgn0031260	-
2L	544925	552923	Ets21C	FBgn0005660	-
2L	545129	547096	nAChRbeta3	FBgn0031261	+
2L	553742	560310	rempA	FBgn0260933	-
2L	559612	560523	Tspo	FBgn0031263	+
2L	560568	563819	CG11835	FBgn0031264	-
2L	564163	566472	CG2794	FBgn0031265	+
2L	566366	568121	Nle	FBgn0021874	-
2L	568340	572907	Sf3b1	FBgn0031266	+
2L	573033	574264	Ipk2	FBgn0031267	-
2L	574291	575734	cold	FBgn0031268	+
2L	575711	576896	Ptth	FBgn0013323	-
2L	577486	579549	Pph13	FBgn0023489	+
2L	583540	594685	Gsc	FBgn0010323	-
2L	588048	588784	lncRNA:CR46148	FBgn0267827	+
2L	602813	604430	CG13689	FBgn0031270	+
2L	605914	606412	lncRNA:CR43648	FBgn0263657	+
2L	608340	609134	lncRNA:CR43649	FBgn0263658	-
2L	620298	621201	lectin-21Cb	FBgn0040106	-
2L	623107	623665	lncRNA:CR44797	FBgn0266032	+
2L	623900	624323	lncRNA:CR44798	FBgn0266033	-
2L	624617	625556	lectin-21Ca	FBgn0040107	+
2L	625652	628200	CG2839	FBgn0031273	+
2L	628729	629052	lncRNA:CR45369	FBgn0266909	+
2L	640013	714983	ds	FBgn0284247	-
2L	710568	715307	lncRNA:CR44988	FBgn0266323	+
2L	721985	724833	lncRNA:CR46260	FBgn0267993	-
2L	728362	730564	Hsp60B	FBgn0011244	+
2L	737212	744395	Eaat2	FBgn0026438	-
2L	749945	762399	GABA-B-R3	FBgn0031275	+
2L	772514	773093	lncRNA:CR44614	FBgn0265825	+
2L	773547	774017	CG12506	FBgn0031276	+
2L	776536	776941	CG13946	FBgn0040725	+
2L	779173	779655	CG13947	FBgn0031277	+
2L	780482	782885	Gr21a	FBgn0041250	+
2L	784336	788776	CG3544	FBgn0031279	+
2L	786153	790798	Pkg21D	FBgn0000442	-
2L	799856	800323	lncRNA:CR45259	FBgn0266797	+
2L	810577	811531	Nnf1b	FBgn0051658	+
2L	811584	813380	Dbp21E2	FBgn0086130	+
2L	813314	815950	Saf6	FBgn0031281	-
2L	815993	818096	Pex12	FBgn0031282	+
2L	816994	817950	CG15880	FBgn0031283	-
2L	818079	819508	PGAP2	FBgn0031284	-
2L	819964	821209	Clp	FBgn0015621	+
2L	821289	824337	CG3662	FBgn0031285	+
2L	824329	825861	CG3862	FBgn0031286	-
2L	825969	833241	dock	FBgn0010583	+
2L	833584	851071	drongo	FBgn0020304	-
2L	850702	851163	lncRNA:CR44060	FBgn0264869	+
2L	851251	852730	CG4291	FBgn0031287	-
2L	852768	854539	kraken	FBgn0020545	+
2L	855337	856639	CG13949	FBgn0031288	+
2L	857403	860079	lncRNA:CR45345	FBgn0266884	+
2L	857542	857632	mir-375	FBgn0262177	+
2L	860197	861806	CG13950	FBgn0031289	+
2L	861849	868354	aru	FBgn0029095	-
2L	865366	865493	snoRNA:Me28S-U1230	FBgn0086031	-
2L	868673	869857	dbe	FBgn0020305	-
2L	870465	877038	PNUTS	FBgn0053526	+
2L	877172	885141	CG15824	FBgn0031292	-
2L	877302	878270	ninaA	FBgn0002936	+
2L	897453	898050	lncRNA:CR45348	FBgn0266887	-
2L	898500	901316	Lsp1beta	FBgn0002563	+
2L	901491	901654	snRNA:U1:21D	FBgn0003916	-
2L	901976	902082	scaRNA:MeU1:95C-A24	FBgn0286735	-
2L	904029	904347	lncRNA:CR45261	FBgn0266799	+
2L	912981	913305	lncRNA:CR44061	FBgn0264870	-
2L	914086	917805	GluRIIC	FBgn0046113	+
2L	922793	958098	CG4341	FBgn0028481	+
2L	987807	991300	lncRNA:CR44801	FBgn0266036	-
2L	1008378	1048053	IA-2	FBgn0031294	-
2L	1019659	1028737	asRNA:CR46486	FBgn0287617	+
2L	1026105	1026897	CG4375	FBgn0031295	-
2L	1037246	1038685	CG4415	FBgn0031296	+
2L	1049674	1077815	S	FBgn0003310	-
2L	1077948	1080803	ast	FBgn0015905	+
2L	1080911	1085380	Atg4a	FBgn0031298	+
2L	1083091	1102504	CG4629	FBgn0031299	-
2L	1103254	1108373	mtRNApol	FBgn0261938	-
2L	1108540	1112694	CG14339	FBgn0031301	+
2L	1112941	1114138	CG14340	FBgn0031302	+
2L	1114654	1128953	Pino	FBgn0016926	-
2L	1129316	1132411	TBC1D23	FBgn0031304	+
2L	1132332	1134098	Iris	FBgn0031305	-
2L	1134693	1141156	CG4577	FBgn0031306	+
2L	1142869	1143216	lncRNA:CR45717	FBgn0267281	+
2L	1143201	1147395	MFS3	FBgn0031307	+
2L	1147822	1149449	l(2)10685	FBgn0283525	+
2L	1149445	1150677	Tfb4	FBgn0031309	-
2L	1150766	1151764	Vps29	FBgn0031310	+
2L	1151678	1158262	capt	FBgn0261458	-
2L	1158576	1159355	asRNA:CR43767	FBgn0264267	-
2L	1158661	1160220	Tango14	FBgn0031312	+
2L	1160290	1163886	CG5080	FBgn0031313	-
2L	1164443	1166425	IntS14	FBgn0031314	+
2L	1166506	1167211	CG14341	FBgn0031315	+
2L	1167172	1170365	Plap	FBgn0024314	-
2L	1170181	1170789	CG31922	FBgn0051922	+
2L	1170753	1172805	Charon	FBgn0031317	-
2L	1173009	1177589	CG4887	FBgn0031318	+
2L	1177690	1182454	CG4896	FBgn0031319	+
2L	1182297	1184020	CG5126	FBgn0031320	-
2L	1184065	1185698	Tgt	FBgn0031321	+
2L	1185757	1196807	CG5001	FBgn0031322	+
2L	1198465	1199266	CG5139	FBgn0031323	-
2L	1199412	1199924	CG43348	FBgn0263080	+
2L	1200205	1200663	CG43349	FBgn0263081	+
2L	1200671	1201220	CG5011	FBgn0040723	+
2L	1204215	1205250	CG14342	FBgn0031324	+
2L	1214649	1215293	lncRNA:CR45346	FBgn0266885	-
2L	1216854	1217785	lncRNA:CR43263	FBgn0262944	-
2L	1219293	1229802	CG42329	FBgn0259229	+
2L	1240036	1243018	CG5397	FBgn0031327	+
2L	1256417	1296596	robo3	FBgn0041097	+
2L	1329161	1329993	a5	FBgn0011294	+
2L	1334128	1335514	CG5440	FBgn0031331	+
2L	1341365	1342095	CG33923	FBgn0053923	-
2L	1343443	1344171	CG33922	FBgn0053922	-
2L	1344400	1345135	Cdlc2	FBgn0026141	+
2L	1345501	1345840	lncRNA:CR45005	FBgn0266357	-
2L	1345965	1346331	lncRNA:CR45006	FBgn0266358	-
2L	1351728	1352868	CG5556	FBgn0031332	-
2L	1352970	1354109	CG5561	FBgn0031333	-
2L	1354101	1354919	CG31924	FBgn0051924	-
2L	1354911	1355924	CG5565	FBgn0031335	-
2L	1358925	1359790	CG31659	FBgn0051659	-
2L	1359837	1361821	NLaz	FBgn0053126	-
2L	1367996	1369050	CG14346	FBgn0031337	+
2L	1380083	1381326	lncRNA:CR44898	FBgn0266203	-
2L	1380086	1420453	robo2	FBgn0002543	-
2L	1381211	1382796	asRNA:CR44897	FBgn0266202	+
2L	1428474	1429159	CG43401	FBgn0263320	+
2L	1432711	1432921	snRNA:U3	FBgn0003926	+
2L	1442627	1443832	CG43402	FBgn0263321	+
2L	1492295	1493859	CG31928	FBgn0051928	+
2L	1494070	1495456	CG33128	FBgn0053128	+
2L	1495460	1497071	CG31926	FBgn0051926	+
2L	1497243	1498583	CG31661	FBgn0051661	+
2L	1498455	1500608	CG18131	FBgn0031343	-
2L	1500784	1502904	CG7420	FBgn0031344	-
2L	1500830	1504204	asRNA:CR44064	FBgn0264873	+
2L	1516795	1517478	CG18132	FBgn0031345	-
2L	1517533	1518148	halo	FBgn0001174	-
2L	1520491	1522156	Or22a	FBgn0026398	+
2L	1522697	1524257	Or22b	FBgn0026397	+
2L	1555129	1609389	haf	FBgn0261509	+
2L	1584866	1587155	nis	FBgn0031347	-
2L	1594822	1611157	CG31935	FBgn0051935	-
2L	1611410	1612576	CG14352	FBgn0031351	+
2L	1612429	1614160	RFeSP	FBgn0021906	-
2L	1618637	1626021	lncRNA:CR44603	FBgn0265814	-
2L	1646932	1647163	lncRNA:CR45695	FBgn0267259	-
2L	1651258	1704682	chinmo	FBgn0086758	+
2L	1704902	1706962	cpb	FBgn0011570	+
2L	1707132	1710421	CG17660	FBgn0031356	-
2L	1708452	1709244	asRNA:CR44976	FBgn0266311	+
2L	1710462	1711465	mRpL48	FBgn0031357	+
2L	1711302	1715851	frtz	FBgn0086698	-
2L	1716244	1724388	Rim2	FBgn0031359	-
2L	1724768	1729636	Eno	FBgn0000579	-
2L	1728732	1729762	Rrp40	FBgn0260648	+
2L	1729887	1731070	CG31937	FBgn0031360	+
2L	1731033	1732356	CG17652	FBgn0031361	-
2L	1732524	1750612	CG17646	FBgn0264494	+
2L	1750687	1752122	CG17712	FBgn0027597	-
2L	1752308	1752848	CG17648	FBgn0031364	+
2L	1755253	1756451	Gr22f	FBgn0041249	-
2L	1758286	1759093	CG17650	FBgn0031365	-
2L	1784062	1785286	Gr22e	FBgn0045497	+
2L	1789141	1790361	Gr22d	FBgn0045498	-
2L	1790617	1791823	Gr22c	FBgn0265138	-
2L	1792057	1793268	Gr22b	FBgn0045500	-
2L	1793668	1794917	Gr22a	FBgn0045501	-
2L	1821256	1823331	CG31933	FBgn0051933	-
2L	1824172	1826500	CG31664	FBgn0051664	-
2L	1831627	1832565	c-cup	FBgn0031367	-
2L	1831685	1831799	mir-2280	FBgn0262275	-
2L	1836538	1858550	wry	FBgn0051665	+
2L	1839494	1839896	lncRNA:CR44073	FBgn0264882	-
2L	1840070	1840808	lncRNA:CR44074	FBgn0264883	-
2L	1858609	1881480	CG31663	FBgn0051663	-
2L	1869803	1871032	CG7295	FBgn0031372	+
2L	1872693	1873511	lncRNA:CR44075	FBgn0264884	+
2L	1882008	1883214	CG15358	FBgn0031373	-
2L	1884622	1944289	Wdr62	FBgn0031374	+
2L	1938089	1938159	tRNA:Gly-GCC-1-1	FBgn0011859	-
2L	1945150	1945709	CG15357	FBgn0040719	-
2L	1945815	1946728	CG33673	FBgn0053673	-
2L	1950239	1970362	erm	FBgn0031375	-
2L	1965426	1965498	tRNA:Arg-TCT-2-1	FBgn0051942	+
2L	1973957	1975413	Der-1	FBgn0267972	+
2L	1975463	1980755	CG15356	FBgn0031377	-
2L	1981176	1982099	CG15362	FBgn0031378	+
2L	1982217	1984514	CG7289	FBgn0031379	+
2L	1984512	1987758	Got2	FBgn0001125	-
2L	1988290	1988940	Npc2a	FBgn0031381	+
2L	1989450	1990894	lncRNA:CR42874	FBgn0262148	+
2L	1991381	1992160	Obp22a	FBgn0043539	-
2L	1997102	2006313	CG33543	FBgn0053543	-
2L	2000058	2003935	asRNA:CR43464	FBgn0263441	+
2L	2006763	2007193	CG15353	FBgn0040718	-
2L	2006867	2007688	asRNA:CR45712	FBgn0267276	+
2L	2008414	2009072	Nplp4	FBgn0040717	+
2L	2009155	2009226	tRNA:Gln-CTG-2-2	FBgn0051943	+
2L	2009538	2009609	tRNA:Gln-CTG-2-3	FBgn0051944	+
2L	2009859	2030788	CG4238	FBgn0031384	+
2L	2010646	2010717	tRNA:Gln-CTG-2-4	FBgn0051939	-
2L	2010869	2010940	tRNA:Gln-CTG-3-1	FBgn0051940	-
2L	2013179	2013250	tRNA:Gln-CTG-2-5	FBgn0051669	-
2L	2014449	2014575	snoRNA:Or-CD14	FBgn0286732	-
2L	2031692	2031762	tRNA:Gly-GCC-1-2	FBgn0011860	+
2L	2032519	2036041	CG42296	FBgn0259192	-
2L	2036409	2037265	lectin-22C	FBgn0259230	-
2L	2037714	2044372	Su(dx)	FBgn0003557	+
2L	2044517	2045381	lncRNA:CR45298	FBgn0266836	-
2L	2045494	2048054	Kebab	FBgn0028952	+
2L	2054589	2057967	Or22c	FBgn0026396	+
2L	2058790	2109878	dpr3	FBgn0053516	-
2L	2079919	2081286	CG12674	FBgn0031388	+
2L	2082031	2082347	lncRNA:CR44808	FBgn0266043	+
2L	2083362	2084419	lncRNA:CR44055	FBgn0264864	+
2L	2127309	2129237	CG4259	FBgn0031389	-
2L	2130813	2137296	GlyP	FBgn0004507	+
2L	2137350	2145187	tho2	FBgn0031390	-
2L	2145297	2147275	CG11723	FBgn0031391	-
2L	2147518	2151664	TBCD	FBgn0027509	+
2L	2151754	2155389	AIF	FBgn0031392	+
2L	2155753	2156790	CG15382	FBgn0031393	+
2L	2156484	2178754	aop	FBgn0000097	-
2L	2181962	2185495	lncRNA:CR43751	FBgn0265017	+
2L	2186975	2187970	lncRNA:CR44066	FBgn0264875	-
2L	2187007	2187079	tRNA:Arg-TCT-3-1	FBgn0051946	+
2L	2188620	2189405	lncRNA:CR45290	FBgn0266828	-
2L	2189914	2192386	CG10874	FBgn0031395	-
2L	2190191	2191272	asRNA:CR44065	FBgn0264874	+
2L	2192525	2197912	CG34172	FBgn0085201	-
2L	2203721	2206166	CG31668	FBgn0051668	-
2L	2206525	2209102	CG33124	FBgn0053124	-
2L	2209574	2212571	CG15385	FBgn0031397	-
2L	2212738	2214211	Uch	FBgn0010288	-
2L	2214266	2215167	CG34174	FBgn0085203	+
2L	2214972	2216311	daed	FBgn0031398	-
2L	2216503	2217246	CG42371	FBgn0259717	-
2L	2216503	2217246	CG15386	FBgn0040715	-
2L	2217290	2220625	mio	FBgn0031399	+
2L	2220748	2225544	papi	FBgn0031401	+
2L	2225545	2226294	CG15387	FBgn0031403	-
2L	2226342	2231099	sau	FBgn0267378	+
2L	2226753	2227604	asRNA:CR44114	FBgn0264945	-
2L	2231106	2236844	Sec24CD	FBgn0262126	-
2L	2236347	2237022	asRNA:CR44115	FBgn0264946	+
2L	2237076	2238251	Tengl3	FBgn0051679	-
2L	2238304	2239384	Tengl2	FBgn0052463	-
2L	2239414	2240593	Tengl1	FBgn0051682	-
2L	2242378	2245274	CG4267	FBgn0264979	+
2L	2245230	2247383	lncRNA:CR42859	FBgn0262106	+
2L	2250431	2251275	Ser12	FBgn0011832	-
2L	2251510	2252341	CG17239	FBgn0042186	-
2L	2253045	2253852	CG17234	FBgn0042187	+
2L	2254176	2255050	Send1	FBgn0031406	-
2L	2257635	2258000	lncRNA:CR44787	FBgn0266022	-
2L	2259396	2259730	lncRNA:CR44788	FBgn0266023	-
2L	2263442	2264241	CG4270	FBgn0031407	+
2L	2264231	2265321	CG34049	FBgn0054049	-
2L	2268106	2269140	CG17242	FBgn0250841	-
2L	2271319	2279714	lncRNA:CR43753	FBgn0264084	-
2L	2283705	2285003	lncRNA:CR43754	FBgn0264085	-
2L	2285163	2285926	CG4271	FBgn0031409	+
2L	2285925	2286873	CG31681	FBgn0051681	-
2L	2287025	2287933	CG42658	FBgn0261523	-
2L	2288503	2289416	CG17237	FBgn0031410	-
2L	2290224	2290738	robl22E	FBgn0028570	-
2L	2300103	2300888	CG31949	FBgn0051949	+
2L	2307948	2308872	CG16995	FBgn0031412	+
2L	2308761	2357356	CG9967	FBgn0031413	-
2L	2311680	2358944	eys	FBgn0031414	+
2L	2359142	2365273	Rab5	FBgn0014010	-
2L	2365345	2370137	Axud1	FBgn0261647	+
2L	2370152	2371524	CG3597	FBgn0031417	-
2L	2372455	2374627	CG3609	FBgn0031418	-
2L	2374713	2375697	CG15390	FBgn0031419	+
2L	2374955	2375582	asRNA:CR44982	FBgn0266317	-
2L	2375841	2380506	Atxn7	FBgn0031420	+
2L	2381097	2383073	Eogt	FBgn0264672	+
2L	2383202	2384747	PIG-Wa	FBgn0031422	+
2L	2384761	2385792	CG3557	FBgn0031423	-
2L	2389578	2390689	CG43750	FBgn0264081	-
2L	2391660	2392105	CG46448	FBgn0287218	+
2L	2400295	2410662	VGlut	FBgn0031424	+
2L	2410624	2415322	CG18641	FBgn0031426	-
2L	2415359	2416720	CG31948	FBgn0051948	-
2L	2416792	2417965	CG34448	FBgn0085477	-
2L	2418422	2420013	CG34447	FBgn0085476	-
2L	2420830	2424647	CG9886	FBgn0031428	+
2L	2424797	2425041	CG44139	FBgn0264988	+
2L	2427050	2427881	lncRNA:CR44912	FBgn0266217	-
2L	2428372	2459823	dpp	FBgn0000490	+
2L	2459924	2460044	tRNA:Tyr-GTA-1-2	FBgn0012017	-
2L	2462593	2462686	tRNA:Tyr-GTA-1-3	FBgn0012016	+
2L	2471644	2472978	lncRNA:CR45286	FBgn0266824	-
2L	2488197	2492671	Slh	FBgn0264978	-
2L	2492955	2498846	oaf	FBgn0011818	+
2L	2507312	2507596	lncRNA:CR44607	FBgn0265818	-
2L	2517102	2518037	CG3528	FBgn0031430	-
2L	2517205	2518845	asRNA:CR46069	FBgn0267738	+
2L	2532999	2533569	lncRNA:CR44112	FBgn0264943	-
2L	2551145	2552825	CG3515	FBgn0031431	-
2L	2555750	2556089	lncRNA:CR44113	FBgn0264944	+
2L	2562483	2564830	Cyp309a1	FBgn0031432	-
2L	2564886	2573037	Cyp309a2	FBgn0041337	-
2L	2573436	2575052	Sws1	FBgn0085343	-
2L	2573436	2575052	Rad1	FBgn0026778	-
2L	2575280	2576997	insv	FBgn0031434	-
2L	2577687	2579179	Elba2	FBgn0031435	+
2L	2579201	2580172	ND-B17.2	FBgn0031436	-
2L	2580292	2581423	Arpc5	FBgn0031437	+
2L	2581281	2585430	Drp1	FBgn0026479	-
2L	2591869	2592773	CG15394	FBgn0250835	+
2L	2598608	2599860	lncRNA:CR44790	FBgn0266025	-
2L	2601033	2601721	lncRNA:CR44789	FBgn0266024	-
2L	2609994	2611283	CG15395	FBgn0031440	+
2L	2620187	2620782	CG43403	FBgn0263322	+
2L	2625456	2627986	lncRNA:TS11	FBgn0267269	-
2L	2637669	2638540	lncRNA:CR46328	FBgn0284414	-
2L	2639185	2640081	lncRNA:TS4	FBgn0284413	+
2L	2646030	2646281	lncRNA:CR43852	FBgn0264434	+
2L	2646577	2647720	CG9962	FBgn0031441	-
2L	2647886	2648361	CG43851	FBgn0264433	+
2L	2648360	2652414	CG33125	FBgn0053125	-
2L	2653046	2653926	Prosbeta4R1	FBgn0031442	+
2L	2654049	2655462	Or23a	FBgn0026395	+
2L	2655394	2657102	Prosbeta4R2	FBgn0031443	+
2L	2665062	2666265	Trf4	FBgn0031444	+
2L	2669228	2669622	CR46404	FBgn0286882	+
2L	2669823	2672186	Gr23a	FBgn0041248	+
2L	2677734	2719431	CG31690	FBgn0051690	+
2L	2695330	2696437	Trf5	FBgn0031446	-
2L	2725674	2739830	CG31689	FBgn0031449	+
2L	2737568	2737661	mir-4914	FBgn0263564	+
2L	2739986	2743377	Hrs	FBgn0031450	+
2L	2743375	2744934	CG9961	FBgn0031451	-
2L	2745098	2746944	Cwc25	FBgn0031452	+
2L	2746880	2753068	Pgk	FBgn0250906	-
2L	2752445	2757975	Bacc	FBgn0031453	+
2L	2757940	2758176	lncRNA:CR44772	FBgn0265997	-
2L	2758427	2759677	Snapin	FBgn0031455	-
2L	2758427	2759677	HemK2	FBgn0031454	-
2L	2759924	2763889	Tnpo-SR	FBgn0031456	+
2L	2763416	2765665	Snx21	FBgn0031457	-
2L	2766233	2767281	aph-1	FBgn0031458	+
2L	2767286	2767845	Taf10b	FBgn0026324	-
2L	2767890	2768612	Taf10	FBgn0028398	+
2L	2768590	2770069	colt	FBgn0019830	-
2L	2770135	2770904	HINT1	FBgn0031459	+
2L	2770884	2771776	CG15399	FBgn0031460	-
2L	2772327	2799979	Syt1	FBgn0004242	-
2L	2797832	2798321	lncRNA:CR43821	FBgn0264369	+
2L	2805261	2812376	daw	FBgn0031461	+
2L	2812437	2814429	CG2964	FBgn0031462	+
2L	2814336	2815760	G6P	FBgn0031463	-
2L	2815970	2830248	Duox	FBgn0283531	-
2L	2823546	2825506	CG3123	FBgn0031465	-
2L	2834887	2837833	CG3119	FBgn0031466	-
2L	2838411	2839547	Cpr23B	FBgn0031467	+
2L	2840025	2840316	asRNA:CR45342	FBgn0266881	-
2L	2840124	2842638	CG2975	FBgn0031468	+
2L	2842589	2844513	CG18558	FBgn0031469	-
2L	2844601	2845734	CG18557	FBgn0031470	-
2L	2845926	2847212	CG3117	FBgn0031471	-
2L	2847632	2848997	CG2983	FBgn0031472	+
2L	2848989	2855778	CG3104	FBgn0031473	-
2L	2856070	2857029	RpS21	FBgn0015521	+
2L	2857164	2868548	CG2991	FBgn0031474	+
2L	2868627	2874489	CG31694	FBgn0051694	-
2L	2869652	2870649	CG8813	FBgn0031476	+
2L	2874890	2877168	CG8814	FBgn0031478	+
2L	2877091	2878232	Prx6005	FBgn0031479	-
2L	2878344	2879001	Sbat	FBgn0051950	+
2L	2879112	2880708	betaggt-II	FBgn0028970	+
2L	2880704	2885850	NTPase	FBgn0024947	-
2L	2885929	2954406	lilli	FBgn0041111	+
2L	2954762	2968434	Rbp9	FBgn0010263	+
2L	2968293	2969638	Ts	FBgn0024920	-
2L	2969773	2972508	Rrp1	FBgn0004584	-
2L	2972891	2974858	gammaTub23C	FBgn0260639	+
2L	2974859	2976862	CG9641	FBgn0031483	-
2L	2977122	2978500	CG3165	FBgn0031484	+
2L	2978411	2979288	CG9643	FBgn0031485	-
2L	2979562	2987723	Chd1	FBgn0250786	-
2L	2988116	2990075	Bem46	FBgn0025109	+
2L	2989594	2992759	okr	FBgn0002989	-
2L	2992870	2998726	CG3558	FBgn0025681	+
2L	2999286	3016069	Ccdc85	FBgn0031488	+
2L	3016441	3018308	CG17224	FBgn0031489	-
2L	3018508	3021506	CG17264	FBgn0031490	+
2L	3021309	3023141	alpha4GT1	FBgn0031491	-
2L	3023226	3026439	Prp40	FBgn0031492	+
2L	3026252	3029168	Sf3b2	FBgn0031493	-
2L	3029253	3030616	CG17219	FBgn0031494	+
2L	3030412	3030903	asRNA:CR44147	FBgn0264996	-
2L	3030539	3032300	GABPI	FBgn0031495	+
2L	3032210	3035348	CG17258	FBgn0031496	-
2L	3035493	3037403	SerRS	FBgn0031497	-
2L	3037230	3038793	CG17260	FBgn0031498	+
2L	3038826	3039812	cnir	FBgn0243513	-
